pregame_total,inning,favorite_strength_bucket,mean_favorite_novig_prob,n,under_pct,top_zero_pct,bottom_zero_pct,independence_p0_pct,joint_zero_dependence_pp,top_bottom_scoring_phi,mean_runs,multi_run_given_score_pct,threeplus_given_score_pct,season_under_sd_pp
7.5,6,65-70%,0.6716788657374662,182,50.54945054945055,74.72527472527473,70.32967032967034,52.55403936722619,-2.0045888177756432,-0.10097592601109223,0.989010989010989,57.77777777777777,28.888888888888886,5.86424125059908
8.0,6,50-55%,0.5228105268760499,790,54.55696202531646,75.18987341772151,71.89873417721519,54.06056721679218,0.49639480852428086,0.02556875019611439,0.9316455696202531,50.974930362116986,26.740947075208915,3.4974066354401407
8.0,6,55-60%,0.572632248584316,694,52.1613832853026,73.9193083573487,70.89337175792507,52.40389007466219,-0.2425067893595978,-0.01215868582633251,0.9827089337175793,55.72289156626506,27.710843373493976,4.409615945908414
8.0,6,60-65%,0.6233307875910687,401,53.11720698254364,72.81795511221945,72.81795511221945,53.02454586725208,0.09266111529155907,0.004681412592685777,0.9925187032418953,54.78723404255319,28.723404255319153,7.289561197704572
8.0,6,65-70%,0.6716239238671528,186,57.52688172043011,76.88172043010752,72.04301075268818,55.38790611631402,2.138975604116089,0.1130512587298404,0.9086021505376344,59.49367088607595,29.11392405063291,8.113724349664112
8.5,6,50-55%,0.5224312538673268,1052,51.42585551330798,72.14828897338404,71.00760456273764,51.23077173300178,0.19508378030620444,0.00959152633662805,1.0750950570342206,57.534246575342465,30.332681017612522,2.474770601292118
8.5,6,55-60%,0.5744611703690226,914,53.282275711159734,71.88183807439825,73.41356673960613,52.77102116840396,0.511254542755768,0.025740437733261182,1.0437636761487965,58.31381733021077,32.31850117096019,1.9133511200066688
8.5,6,60-65%,0.6230576499017262,541,49.35304990757856,70.97966728280961,70.60998151571165,50.11872994830549,-0.7656800407269404,-0.03703362072882338,1.1053604436229205,57.299270072992705,28.832116788321166,3.5926636115513313
8.5,6,65-70%,0.6705144543337256,258,56.58914728682171,79.45736434108527,71.31782945736434,56.66726759209182,-0.07812030527011293,-0.004275271571258825,0.8333333333333334,50.89285714285714,22.321428571428573,3.8513094011380353
9.0,6,50-55%,0.5224338859773857,664,51.05421686746988,72.43975903614458,68.97590361445783,49.965978371316595,1.0882384961532876,0.052649689148805336,1.033132530120482,54.46153846153846,29.230769230769234,5.074846659999274
