n,mean_runs,variance,p0_pct,p1_pct,p2plus_pct,mean_runs_given_score,multi_run_given_score_pct,poisson_p0_pct,poisson_residual_pp,nb_p0_pct,nb_residual_pp,pregame_total,inning,half,season
224,0.41964285714285715,0.8545003203074952,75.0,15.625,9.375,1.6785714285714286,37.5,65.72815213020473,9.27184786979527,74.97820800167919,0.021791998320808137,7.5,1,bottom,2025
363,0.6749311294765841,1.6564692631995497,65.28925619834712,19.28374655647383,15.426997245179063,1.9444444444444444,44.44444444444444,50.9191487684267,14.37010742992041,65.92288958620497,-0.6336333878578571,8.0,1,bottom,2021
443,0.510158013544018,1.0332676220340542,72.686230248307,13.99548532731377,13.31828442437923,1.8677685950413223,48.760330578512395,60.04006998739667,12.646160260910321,70.38885723828471,2.2973730100222745,8.0,1,bottom,2022
372,0.5403225806451613,1.1600947743674463,71.7741935483871,14.516129032258066,13.709677419354838,1.9142857142857144,48.57142857142857,58.256029938340056,13.51816361004704,69.77245946955071,2.0017340788363924,8.0,1,bottom,2023
589,0.5093378607809848,1.0870725200097016,72.83531409168081,13.412563667232597,13.752122241086587,1.875,50.625,60.089332215204315,12.745981876476497,71.14640381832254,1.6889102733582795,8.0,1,bottom,2024
379,0.5435356200527705,1.0424118049447866,68.60158311345647,18.997361477572557,12.401055408970976,1.73109243697479,39.49579831932773,58.069151403238095,10.53243171021837,68.00191290714316,0.5996702063133075,8.0,1,bottom,2025
526,0.5665399239543726,1.0117544812601846,67.87072243346007,17.300380228136884,14.82889733840304,1.7633136094674555,46.15384615384615,56.748558890195824,11.122163543264252,65.83218227708497,2.0385401563751127,8.5,1,bottom,2021
506,0.6482213438735178,1.3809572261573988,66.00790513833992,17.984189723320156,16.007905138339922,1.9069767441860466,47.093023255813954,52.297514294657276,13.71039084368264,64.81041662303721,1.1974885153027026,8.5,1,bottom,2022
628,0.6130573248407644,1.2838483731041557,67.35668789808918,17.8343949044586,14.808917197452228,1.8780487804878048,45.36585365853659,54.1692205793446,13.187467318744572,66.0904908021323,1.266197095956878,8.5,1,bottom,2023
733,0.5538881309686221,1.0671057634245074,70.25920873124147,14.188267394270124,15.552523874488402,1.8623853211009174,52.293577981651374,57.47109093461891,12.788117796622567,67.5710273028772,2.688181428364278,8.5,1,bottom,2024
478,0.48326359832635984,0.9672245467224544,73.01255230125523,14.644351464435147,12.343096234309623,1.7906976744186047,45.73643410852713,61.67672231361414,11.335829987641088,71.54538531704723,1.4671669842079904,8.5,1,bottom,2025
383,0.5953002610966057,1.1473076975653769,68.66840731070496,15.143603133159269,16.187989556135772,1.9,51.66666666666667,55.13969779480049,13.528709515904469,65.6250048096939,3.04340250101105,9.0,1,bottom,2021
268,0.5746268656716418,1.0243725194253452,68.28358208955224,15.671641791044777,16.044776119402986,1.811764705882353,50.588235294117645,56.29148724875965,11.99209484079259,65.41343810820783,2.8701439813444085,9.0,1,bottom,2022
493,0.6328600405679513,1.2450155840300796,65.11156186612575,19.26977687626775,15.618661257606492,1.813953488372093,44.76744186046512,53.107074303045174,12.004487563080579,64.22928521814784,0.8822766479779198,9.0,1,bottom,2023
378,0.5793650793650794,1.3796261210054315,71.6931216931217,12.962962962962962,15.343915343915343,2.046728971962617,54.20560747663551,56.02539704699752,15.667724646124181,69.49444037119994,2.1986813219217582,9.0,1,bottom,2024
317,0.7728706624605678,1.4545781256239265,61.82965299684543,16.08832807570978,22.082018927444793,2.024793388429752,57.85123966942148,46.168582002963845,15.661070993881587,57.459540840718205,4.370112156127226,9.0,1,bottom,2025
212,0.7075471698113207,1.9425020119824736,67.9245283018868,14.622641509433961,17.452830188679243,2.2058823529411766,54.41176470588235,49.285159735869826,18.639368566016962,66.40471725113416,1.5198110507526286,9.5,1,bottom,2021
146,0.547945205479452,1.1321681624940954,69.86301369863014,15.753424657534246,14.383561643835616,1.8181818181818181,47.72727272727273,57.813654251728394,12.049359446901741,68.86932568687801,0.9936880117521252,9.5,1,bottom,2022
278,0.6906474820143885,1.3407786406254054,63.30935251798561,19.424460431654676,17.26618705035971,1.8823529411764706,47.05882352941176,50.125141269840924,13.184211248144685,61.46441919410521,1.8449333238803933,9.5,1,bottom,2023
110,0.7090909090909091,1.7861551292743956,65.45454545454545,16.363636363636363,18.181818181818183,2.0526315789473686,52.63157894736842,49.20913499517207,16.24541045937338,64.96781299421338,0.4867324603320844,9.5,1,bottom,2024
129,0.6046511627906976,1.2565406976744184,66.66666666666666,20.155038759689923,13.178294573643413,1.813953488372093,39.53488372093023,54.62649509478217,12.040171571884494,66.34960429280329,0.3170623738633638,9.5,1,bottom,2025
